
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2245.643        1.189              1.189              1.520
2) VITH_NAP    2151.806        1.139              2.328              0.077
3) BYSP_NAP    2044.556        1.082              3.411              0.176
4) STVI_NAP    1957.128        1.036              4.447              0.348
5) VIKH        1737.714        0.920              5.367              1.377
6) VIKH_NAP    1732.970        0.917              6.284              1.431
7) MIPR_NAP    1670.990        0.885              7.169              0.370
8) CUPR_NAP    1567.446        0.830              7.999              0.230
9) SMRT_NAP    1561.585        0.827              8.826              1.436
10) CRO1        1558.582        0.825              9.651              1.086
11) PRAR_NAP    1541.723        0.816              10.467              0.968
12) GEOL_NAP    1513.699        0.801              11.268              0.861
13) PUR3_NAP    1447.972        0.767              12.035              0.377
14) BDOS        1362.032        0.721              12.756              0.152
15) ZSU1_NAP    1271.478        0.673              13.429              0.062
16) PRLP_NAP    1251.226        0.662              14.092              0.503
17) PRHL_NAP    1249.678        0.662              14.753              0.155
18) NGLF        1218.695        0.645              15.399              2.224
19) HLFX_NAP    1165.084        0.617              16.015              0.262
20) PRN4_NAP    1128.289        0.597              16.613              0.681
21) MAND        1098.560        0.582              17.194              0.437
22) BRMU_NAP    1013.869        0.537              17.731              0.751
23) MVRN        988.632        0.523              18.255              0.380
24) EPRT_NAP    938.107        0.497              18.751              0.662
25) KNOX        847.665        0.449              19.200              0.145
26) CAPL_NAP    823.715        0.436              19.636              0.671
27) CN05_NAP    802.426        0.425              20.061              0.852
28) ABVI_NAP    786.728        0.417              20.477              1.245
29) CN03_NAP    742.360        0.393              20.870              0.820
30) CAVE        726.036        0.384              21.255              0.118
31) PLND        724.157        0.383              21.638              0.293
32) MAYZ_NAP    722.855        0.383              22.021              0.429
33) PIKE        715.970        0.379              22.400              0.221
34) NPRI_NAP    708.131        0.375              22.775              0.114
35) GRE0        707.587        0.375              23.150              1.292
36) CN02_NAP    705.577        0.374              23.523              1.951
37) ALEX        703.116        0.372              23.895              0.144
38) MCTN_NAP    700.982        0.371              24.266              0.372
39) WARF        700.080        0.371              24.637              0.545
40) BARH_NAP    686.496        0.363              25.001              0.223
41) SPED_NAP    675.246        0.357              25.358              0.620
42) BTCC        656.192        0.347              25.705              0.688
43) HALS        653.314        0.346              26.051              1.012
44) LINS        652.273        0.345              26.397              0.308
45) LION        651.982        0.345              26.742              0.766
46) MNRO        647.103        0.343              27.084              0.233
47) VCAP_NAP    619.622        0.328              27.413              0.561
48) MRNT        616.066        0.326              27.739              0.643
49) FALM        593.211        0.314              28.053              0.864
50) MRA2_NAP    589.413        0.312              28.365              0.505
51) CASL        575.318        0.305              28.669              0.253
52) DISC        564.156        0.299              28.968              0.715
53) FRDN_NAP    555.083        0.294              29.262              0.358
54) NEGR        547.182        0.290              29.552              1.685
55) NUTF        530.880        0.281              29.833              0.674
56) MORA        518.465        0.274              30.107              0.664
57) LUCE        516.642        0.274              30.381              0.957
58) AOPR_NAP    515.344        0.273              30.654              0.796
59) KNGJ        509.261        0.270              30.923              0.970
60) WYLC_NAP    506.222        0.268              31.191              0.180
61) MANC        501.875        0.266              31.457              0.585
62) LOUP_NAP    497.686        0.263              31.720              0.438
63) P042_NAP    491.200        0.260              31.980              0.510
64) PLTC_NAP    486.840        0.258              32.238              0.247
65) RDSD_NAP    486.399        0.258              32.496              1.130
66) JUNC        481.202        0.255              32.751              0.678
67) AMC2_NAP    480.897        0.255              33.005              0.346
68) ZNY1_NAP    472.227        0.250              33.255              0.333
69) SHER_NAP    467.622        0.248              33.503              0.515
70) SPAU        458.155        0.243              33.745              0.684
71) CTGR_NAP    456.852        0.242              33.987              0.108
72) CN11        456.593        0.242              34.229              0.628
73) CN08_NAP    454.185        0.240              34.469              0.443
74) NMRO_NAP    448.405        0.237              34.707              0.708
75) NHUN_NAP    443.063        0.235              34.941              0.503
76) P054_NAP    436.891        0.231              35.173              0.698
77) LVEG_NAP    436.334        0.231              35.404              1.055
78) LCAY_NAP    435.812        0.231              35.634              1.193
79) PRTJ        435.187        0.230              35.865              0.444
80) CTPU_NAP    432.528        0.229              36.094              0.353
81) CTGU_NAP    426.231        0.226              36.319              0.106
82) WOOD_NAP    425.671        0.225              36.545              0.127
83) P043_NAP    422.694        0.224              36.769              0.467
84) RG12_NAP    413.275        0.219              36.987              0.704
85) CN10        411.876        0.218              37.205              0.601
86) LAMT_NAP    409.869        0.217              37.422              0.275
87) JME2_NAP    407.148        0.216              37.638              1.694
88) P038_NAP    403.106        0.213              37.851              0.601
89) CTEG_NAP    402.882        0.213              38.065              0.122
90) CARM_NAP    401.884        0.213              38.277              0.728
91) RG08_NAP    399.204        0.211              38.489              0.662
92) EDON_NAP    398.908        0.211              38.700              0.671
93) WES2_NAP    392.467        0.208              38.908              0.283
94) ZBW1_NAP    392.314        0.208              39.116              0.274
