
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2270.693        1.203              1.203              1.264
2) VITH_NAP    2147.978        1.138              2.342              0.079
3) BYSP_NAP    2043.446        1.083              3.425              0.188
4) STVI_NAP    1953.644        1.035              4.460              0.335
5) VIKH        1756.907        0.931              5.391              1.090
6) VIKH_NAP    1749.802        0.927              6.318              1.152
7) MIPR_NAP    1672.880        0.887              7.205              0.377
8) SMRT_NAP    1590.341        0.843              8.048              1.367
9) CRO1        1580.222        0.837              8.885              0.781
10) CUPR_NAP    1563.985        0.829              9.714              0.215
11) PRAR_NAP    1543.218        0.818              10.532              0.967
12) GEOL_NAP    1517.208        0.804              11.336              0.855
13) PUR3_NAP    1450.941        0.769              12.105              0.394
14) BDOS        1365.218        0.724              12.828              0.158
15) ZSU1_NAP    1270.121        0.673              13.501              0.076
16) PRLP_NAP    1249.306        0.662              14.164              0.514
17) PRHL_NAP    1248.900        0.662              14.825              0.142
18) HLFX_NAP    1166.888        0.618              15.444              0.258
19) PRN4_NAP    1128.487        0.598              16.042              0.669
20) BRMU_NAP    1015.072        0.538              16.580              0.739
21) MAND        1001.683        0.531              17.111              0.100
22) NGLF        958.705        0.508              17.619              0.211
23) EPRT_NAP    939.389        0.498              18.117              0.667
24) MVRN        936.101        0.496              18.613              0.181
25) KNOX        910.188        0.482              19.095              0.195
26) CAPL_NAP    824.760        0.437              19.532              0.671
27) CN05_NAP    804.869        0.427              19.959              0.908
28) ABVI_NAP    783.756        0.415              20.374              1.261
29) CN03_NAP    740.277        0.392              20.766              0.839
30) PIKE        738.824        0.392              21.158              0.113
31) CAVE        731.170        0.387              21.545              0.154
32) BTCC        727.255        0.385              21.931              0.213
33) ALEX        726.259        0.385              22.316              0.146
34) MAYZ_NAP    724.720        0.384              22.700              0.438
35) CN02_NAP    718.357        0.381              23.080              1.807
36) GRE0        714.929        0.379              23.459              1.149
37) NPRI_NAP    708.876        0.376              23.835              0.118
38) MCTN_NAP    701.991        0.372              24.207              0.370
39) PLND        697.695        0.370              24.577              0.390
40) BARH_NAP    687.372        0.364              24.941              0.225
41) SPED_NAP    671.057        0.356              25.297              0.604
42) WARF        658.804        0.349              25.646              0.373
43) LION        654.427        0.347              25.993              0.746
44) MNRO        644.470        0.342              26.334              0.151
45) DISC        636.264        0.337              26.671              0.264
46) VCAP_NAP    620.236        0.329              27.000              0.564
47) LINS        614.026        0.325              27.325              0.502
48) MRNT        594.546        0.315              27.640              0.600
49) MRA2_NAP    590.209        0.313              27.953              0.506
