
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2277.202        1.206              1.206              1.560
2) VITH_NAP    2148.007        1.138              2.344              0.078
3) BYSP_NAP    2040.977        1.081              3.424              0.168
4) STVI_NAP    1953.673        1.035              4.459              0.335
5) VIKH        1761.487        0.933              5.392              1.407
6) VIKH_NAP    1756.625        0.930              6.322              1.464
7) MIPR_NAP    1671.183        0.885              7.207              0.370
8) SMRT_NAP    1590.410        0.842              8.050              1.308
9) CRO1        1580.632        0.837              8.887              1.107
10) CUPR_NAP    1564.497        0.829              9.715              0.221
11) PRAR_NAP    1540.710        0.816              10.531              0.969
12) GEOL_NAP    1515.176        0.802              11.334              0.866
13) PUR3_NAP    1448.518        0.767              12.101              0.372
14) BDOS        1372.233        0.727              12.827              0.107
15) ZSU1_NAP    1268.796        0.672              13.499              0.058
16) PRLP_NAP    1249.087        0.662              14.161              0.515
17) PRHL_NAP    1247.534        0.661              14.822              0.152
18) HLFX_NAP    1165.145        0.617              15.439              0.261
19) NGLF        1156.364        0.612              16.051              2.106
20) PRN4_NAP    1127.440        0.597              16.648              0.677
21) MAND        1052.230        0.557              17.205              0.213
22) MVRN        1021.578        0.541              17.746              0.505
23) BRMU_NAP    1013.908        0.537              18.283              0.751
24) EPRT_NAP    938.106        0.497              18.780              0.662
25) KNOX        869.527        0.460              19.241              0.072
26) CAPL_NAP    823.452        0.436              19.677              0.670
27) CN05_NAP    806.682        0.427              20.104              0.887
28) ABVI_NAP    783.622        0.415              20.519              1.260
29) CAVE        748.328        0.396              20.915              0.244
30) CN03_NAP    741.003        0.392              21.308              0.833
31) PIKE        725.441        0.384              21.692              0.216
32) MAYZ_NAP    723.561        0.383              22.075              0.424
33) ALEX        720.646        0.382              22.457              0.204
34) CN02_NAP    718.563        0.381              22.837              1.826
35) GRE0        715.666        0.379              23.216              1.214
36) NPRI_NAP    708.241        0.375              23.591              0.113
37) MCTN_NAP    700.930        0.371              23.963              0.370
