
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2275.011        1.205              1.205              1.552
2) VITH_NAP    2148.277        1.138              2.343              0.078
3) BYSP_NAP    2041.222        1.081              3.424              0.168
4) STVI_NAP    1953.918        1.035              4.458              0.336
5) VIKH        1759.844        0.932              5.390              1.399
6) VIKH_NAP    1754.945        0.929              6.320              1.456
7) MIPR_NAP    1671.166        0.885              7.205              0.370
8) SMRT_NAP    1588.516        0.841              8.046              1.317
9) CRO1        1579.180        0.836              8.882              1.099
10) CUPR_NAP    1564.686        0.829              9.711              0.222
11) PRAR_NAP    1540.795        0.816              10.527              0.969
12) GEOL_NAP    1515.122        0.802              11.329              0.865
13) PUR3_NAP    1448.535        0.767              12.096              0.372
14) BDOS        1371.458        0.726              12.823              0.110
15) ZSU1_NAP    1268.978        0.672              13.495              0.059
16) PRLP_NAP    1249.218        0.662              14.156              0.514
17) PRHL_NAP    1247.679        0.661              14.817              0.152
18) HLFX_NAP    1165.160        0.617              15.434              0.261
19) NGLF        1159.174        0.614              16.048              2.123
20) PRN4_NAP    1127.493        0.597              16.645              0.677
21) MAND        1049.828        0.556              17.201              0.203
22) MVRN        1018.840        0.540              17.741              0.494
23) BRMU_NAP    1013.919        0.537              18.278              0.751
24) EPRT_NAP    938.120        0.497              18.774              0.662
25) KNOX        872.359        0.462              19.236              0.061
26) CAPL_NAP    823.484        0.436              19.672              0.670
27) CN05_NAP    806.137        0.427              20.099              0.883
28) ABVI_NAP    783.846        0.415              20.514              1.259
29) CAVE        750.408        0.397              20.912              0.231
30) CN03_NAP    741.095        0.392              21.304              0.832
31) PIKE        725.791        0.384              21.689              0.210
32) MAYZ_NAP    723.542        0.383              22.072              0.425
33) CN02_NAP    717.703        0.380              22.452              1.834
34) ALEX        715.665        0.379              22.831              0.198
35) GRE0        715.121        0.379              23.210              1.218
36) NPRI_NAP    708.240        0.375              23.585              0.113
37) MCTN_NAP    700.945        0.371              23.956              0.370
38) PLND        696.552        0.369              24.325              0.166
39) BARH_NAP    686.544        0.364              24.688              0.225
40) BTCC        685.639        0.363              25.052              0.516
41) SPED_NAP    674.022        0.357              25.408              0.611
42) WARF        669.644        0.355              25.763              0.572
43) MNRO        632.157        0.335              26.098              0.335
44) LINS        625.777        0.331              26.429              0.637
45) LION        623.751        0.330              26.760              0.838
46) VCAP_NAP    619.630        0.328              27.088              0.561
47) HALS        602.696        0.319              27.407              0.683
48) FALM        601.286        0.318              27.725              1.160
49) DISC        600.945        0.318              28.044              0.517
50) MRA2_NAP    589.321        0.312              28.356              0.504
51) MRNT        580.657        0.308              28.663              0.407
52) KNGJ        559.607        0.296              28.960              0.598
53) FRDN_NAP    555.054        0.294              29.254              0.357
54) NUTF        551.309        0.292              29.545              0.521
55) NEGR        520.432        0.276              29.821              1.625
56) CASL        515.311        0.273              30.094              0.215
57) AOPR_NAP    515.211        0.273              30.367              0.796
58) WYLC_NAP    505.727        0.268              30.635              0.184
59) MORA        497.632        0.264              30.898              0.513
60) LOUP_NAP    497.550        0.263              31.162              0.439
61) P042_NAP    490.725        0.260              31.422              0.513
62) PLTC_NAP    486.358        0.258              31.679              0.251
63) RDSD_NAP    483.667        0.256              31.935              1.137
64) AMC2_NAP    480.410        0.254              32.190              0.349
65) LUCE        476.143        0.252              32.442              0.732
66) ZNY1_NAP    472.300        0.250              32.692              0.332
67) MANC        470.126        0.249              32.941              0.382
68) SHER_NAP    467.596        0.248              33.189              0.515
69) JUNC        463.983        0.246              33.434              0.401
70) CN11        461.690        0.245              33.679              0.651
71) CN08_NAP    461.395        0.244              33.923              0.479
72) CTGR_NAP    456.924        0.242              34.165              0.107
73) SPAU        455.836        0.241              34.407              0.701
74) NMRO_NAP    447.729        0.237              34.644              0.710
75) NHUN_NAP    443.110        0.235              34.878              0.504
76) LVEG_NAP    440.076        0.233              35.111              1.073
77) P054_NAP    436.452        0.231              35.343              0.700
78) NCAS        433.188        0.229              35.572              0.238
79) CTPU_NAP    432.594        0.229              35.801              0.354
80) LCAY_NAP    429.342        0.227              36.028              1.254
81) UWIN        426.630        0.226              36.254              0.734
82) CTGU_NAP    426.297        0.226              36.480              0.105
83) WOOD_NAP    425.636        0.225              36.706              0.125
84) P043_NAP    422.299        0.224              36.929              0.469
85) CN10        413.122        0.219              37.148              0.603
86) RG12_NAP    412.793        0.219              37.367              0.708
87) LAMT_NAP    409.940        0.217              37.584              0.276
88) JME2_NAP    408.573        0.216              37.800              1.694
89) CTEG_NAP    402.940        0.213              38.013              0.122
90) P038_NAP    402.612        0.213              38.227              0.605
91) CARM_NAP    401.833        0.213              38.439              0.729
92) EDON_NAP    398.815        0.211              38.651              0.669
93) RG08_NAP    398.547        0.211              38.862              0.665
94) WES2_NAP    392.525        0.208              39.070              0.285
95) ZBW1_NAP    392.354        0.208              39.277              0.274
96) RG24_NAP    391.262        0.207              39.485              0.434
97) FONT        390.713        0.207              39.691              0.876
98) CTNE_NAP    380.982        0.202              39.893              0.331
99) WIL1_NAP    379.693        0.201              40.094              0.357
100) CN12        376.904        0.200              40.294              0.172
101) CTBR_NAP    375.197        0.199              40.493              0.391
102) P040_NAP    370.989        0.196              40.689              0.328
103) URIL_NAP    370.864        0.196              40.885              0.403
104) BAIE_NAP    369.505        0.196              41.081              0.999
105) CTDA_NAP    368.071        0.195              41.276              0.284
