
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2265.254        1.199              1.199              1.603
2) VITH_NAP    2149.637        1.138              2.338              0.077
3) BYSP_NAP    2042.073        1.081              3.419              0.167
4) STVI_NAP    1955.156        1.035              4.454              0.340
5) VIKH        1752.402        0.928              5.382              1.457
6) VIKH_NAP    1748.090        0.926              6.308              1.512
7) MIPR_NAP    1670.806        0.885              7.192              0.369
8) SMRT_NAP    1578.122        0.836              8.028              1.358
9) CRO1        1571.395        0.832              8.860              1.162
10) CUPR_NAP    1565.868        0.829              9.689              0.226
11) PRAR_NAP    1540.663        0.816              10.505              0.968
12) GEOL_NAP    1514.092        0.802              11.306              0.866
13) PUR3_NAP    1447.736        0.767              12.073              0.369
14) BDOS        1369.353        0.725              12.798              0.116
15) ZSU1_NAP    1269.713        0.672              13.470              0.056
16) PRLP_NAP    1249.983        0.662              14.132              0.510
17) PRHL_NAP    1248.214        0.661              14.793              0.156
18) NGLF        1187.149        0.629              15.422              2.340
19) HLFX_NAP    1164.818        0.617              16.038              0.262
20) PRN4_NAP    1127.625        0.597              16.636              0.681
21) MAND        1044.299        0.553              17.188              0.202
22) BRMU_NAP    1013.692        0.537              17.725              0.753
23) MVRN        982.068        0.520              18.245              0.356
24) EPRT_NAP    937.887        0.497              18.742              0.661
25) KNOX        878.358        0.465              19.207              0.073
26) CAPL_NAP    823.339        0.436              19.643              0.670
27) CN05_NAP    806.591        0.427              20.070              0.879
28) CAVE        799.795        0.423              20.493              0.452
29) ABVI_NAP    784.917        0.416              20.909              1.254
30) CN03_NAP    741.715        0.393              21.302              0.826
31) PIKE        724.110        0.383              21.685              0.185
32) MAYZ_NAP    722.999        0.383              22.068              0.423
33) CN02_NAP    713.092        0.378              22.446              1.888
34) GRE0        712.474        0.377              22.823              1.264
35) NPRI_NAP    708.091        0.375              23.198              0.112
36) ALEX        707.108        0.374              23.572              0.322
37) MCTN_NAP    700.770        0.371              23.943              0.371
38) BTCC        687.108        0.364              24.307              0.736
39) BARH_NAP    686.379        0.363              24.670              0.224
40) PLND        676.498        0.358              25.029              0.149
41) SPED_NAP    674.540        0.357              25.386              0.610
42) MNRO        657.249        0.348              25.734              0.257
43) WARF        652.811        0.346              26.079              0.584
44) HALS        642.949        0.340              26.420              0.875
45) VCAP_NAP    619.522        0.328              26.748              0.560
46) DISC        608.638        0.322              27.070              0.681
47) LION        607.861        0.322              27.392              0.986
48) LINS        604.735        0.320              27.712              0.896
49) MRA2_NAP    589.195        0.312              28.024              0.504
50) MRNT        579.588        0.307              28.331              0.378
51) NUTF        560.243        0.297              28.628              0.446
52) KNGJ        559.617        0.296              28.924              0.613
53) FRDN_NAP    554.924        0.294              29.218              0.356
54) NEGR        530.707        0.281              29.499              1.809
55) CASL        518.878        0.275              29.774              0.236
56) AOPR_NAP    515.096        0.273              30.046              0.797
57) WYLC_NAP    505.776        0.268              30.314              0.184
58) LOUP_NAP    497.469        0.263              30.578              0.438
59) MORA        492.375        0.261              30.838              0.477
60) P042_NAP    490.770        0.260              31.098              0.513
61) PLTC_NAP    486.413        0.258              31.356              0.251
62) FALM        486.410        0.258              31.613              0.349
63) RDSD_NAP    483.813        0.256              31.869              1.133
64) AMC2_NAP    480.481        0.254              32.124              0.349
65) ZNY1_NAP    472.216        0.250              32.374              0.332
66) MANC        471.363        0.250              32.623              0.421
67) SHER_NAP    467.515        0.248              32.871              0.515
68) SPAU        467.189        0.247              33.118              0.618
69) JUNC        466.753        0.247              33.365              0.377
70) LUCE        462.027        0.245              33.610              1.052
71) CN08_NAP    459.056        0.243              33.853              0.401
72) CN11        457.868        0.242              34.096              0.573
73) CTGR_NAP    456.834        0.242              34.337              0.107
74) NMRO_NAP    447.977        0.237              34.575              0.711
75) FONT        444.506        0.235              34.810              0.952
76) NHUN_NAP    443.017        0.235              35.045              0.503
77) LVEG_NAP    440.287        0.233              35.278              1.080
78) P054_NAP    436.513        0.231              35.509              0.699
79) CTPU_NAP    432.508        0.229              35.738              0.353
80) UWIN        429.717        0.228              35.965              0.794
81) LCAY_NAP    429.315        0.227              36.193              1.249
82) NCAS        427.015        0.226              36.419              0.289
83) CTGU_NAP    426.218        0.226              36.644              0.105
84) WOOD_NAP    425.543        0.225              36.870              0.125
85) P043_NAP    422.328        0.224              37.093              0.469
86) RG12_NAP    412.917        0.219              37.312              0.708
87) CN10        410.161        0.217              37.529              0.532
88) LAMT_NAP    409.876        0.217              37.746              0.275
89) JME2_NAP    407.590        0.216              37.962              1.627
90) CTEG_NAP    402.866        0.213              38.175              0.122
91) P038_NAP    402.768        0.213              38.389              0.605
92) CARM_NAP    401.751        0.213              38.601              0.728
93) RG08_NAP    398.820        0.211              38.813              0.667
94) EDON_NAP    398.748        0.211              39.024              0.670
95) WES2_NAP    392.447        0.208              39.231              0.285
96) ZBW1_NAP    392.273        0.208              39.439              0.273
97) RG24_NAP    391.345        0.207              39.646              0.434
98) CTNE_NAP    380.910        0.202              39.848              0.331
99) WIL1_NAP    379.648        0.201              40.049              0.357
100) CN12        379.342        0.201              40.250              0.234
101) CTBR_NAP    375.133        0.199              40.449              0.390
102) PRTJ        372.094        0.197              40.646              0.929
103) P040_NAP    371.020        0.196              40.842              0.328
104) URIL_NAP    370.785        0.196              41.038              0.402
105) BAIE_NAP    369.459        0.196              41.234              0.999
106) CTDA_NAP    368.009        0.195              41.429              0.283
107) CTWI_NAP    367.851        0.195              41.624              0.499
108) MARJ        360.653        0.191              41.815              0.858
109) NYHS_NAP    355.561        0.188              42.003              0.397
110) BARA_NAP    355.515        0.188              42.191              1.083
111) BRAE        354.382        0.188              42.379              0.406
112) P776_NAP    352.367        0.187              42.565              0.523
113) NYVH_NAP    351.647        0.186              42.751              0.354
114) NYCI_NAP    351.623        0.186              42.938              0.256
115) P044_NAP    350.124        0.185              43.123              0.290
116) NYPB_NAP    349.233        0.185              43.308              0.501
117) WHTJ        348.877        0.185              43.493              0.765
118) P039_NAP    348.606        0.185              43.677              0.458
119) SCUB        347.465        0.184              43.861              1.362
120) CHIC_NAP    346.936        0.184              44.045              1.102
121) CMP2_NAP    344.843        0.183              44.228              0.669
122) VTSA_NAP    343.959        0.182              44.410              0.563
123) TXAM_NAP    343.771        0.182              44.592              0.702
124) PCJB        343.550        0.182              44.774              0.217
125) VTUV_NAP    340.237        0.180              44.954              0.555
126) P070_NAP    339.818        0.180              45.134              0.521
127) NJMT_NAP    339.498        0.180              45.313              0.300
128) GODE_NAP    337.345        0.179              45.492              0.203
129) NYST_NAP    336.399        0.178              45.670              0.636
130) NJGC_NAP    336.109        0.178              45.848              0.044
131) MOPR_NAP    333.755        0.177              46.025              1.358
132) MEMA_NAP    331.714        0.176              46.200              0.659
133) RIMO_NAP    329.172        0.174              46.375              1.079
