
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2276.771        1.206              1.206              1.641
2) VITH_NAP    2148.320        1.137              2.343              0.077
3) BYSP_NAP    2040.649        1.080              3.424              0.163
4) STVI_NAP    1953.958        1.035              4.458              0.336
5) VIKH        1761.047        0.932              5.391              1.492
6) VIKH_NAP    1756.901        0.930              6.321              1.548
7) MIPR_NAP    1670.740        0.885              7.205              0.369
8) SMRT_NAP    1588.048        0.841              8.046              1.313
9) CRO1        1579.080        0.836              8.882              1.195
10) CUPR_NAP    1564.884        0.829              9.711              0.224
11) PRAR_NAP    1540.145        0.815              10.526              0.969
12) GEOL_NAP    1514.506        0.802              11.328              0.869
13) PUR3_NAP    1447.816        0.767              12.095              0.366
14) BDOS        1372.549        0.727              12.822              0.101
15) ZSU1_NAP    1268.684        0.672              13.493              0.054
16) PRLP_NAP    1249.225        0.661              14.155              0.514
17) PRHL_NAP    1247.369        0.660              14.815              0.156
18) NGLF        1207.752        0.639              15.455              2.456
19) HLFX_NAP    1164.620        0.617              16.071              0.262
20) PRN4_NAP    1127.251        0.597              16.668              0.680
21) BRMU_NAP    1013.553        0.537              17.205              0.755
22) MAND        997.793        0.528              17.733              0.171
23) EPRT_NAP    937.716        0.497              18.230              0.660
24) KNOX        934.544        0.495              18.725              0.301
25) MVRN        912.773        0.483              19.208              0.090
26) CAPL_NAP    823.071        0.436              19.644              0.669
27) CN05_NAP    806.733        0.427              20.071              0.879
28) CAVE        791.385        0.419              20.490              0.423
29) ABVI_NAP    783.827        0.415              20.905              1.259
30) CN03_NAP    741.299        0.393              21.297              0.830
31) PIKE        738.342        0.391              21.688              0.050
32) MAYZ_NAP    723.187        0.383              22.071              0.421
33) CN02_NAP    717.584        0.380              22.451              1.850
34) GRE0        715.017        0.379              22.830              1.248
35) BTCC        712.147        0.377              23.207              0.583
36) NPRI_NAP    708.033        0.375              23.582              0.111
37) MCTN_NAP    700.614        0.371              23.953              0.371
