
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2280.033        1.209              1.209              1.317
2) VITH_NAP    2146.874        1.138              2.347              0.079
3) BYSP_NAP    2042.184        1.083              3.429              0.183
4) STVI_NAP    1952.640        1.035              4.464              0.331
5) VIKH        1763.906        0.935              5.399              1.144
6) VIKH_NAP    1757.042        0.931              6.330              1.206
7) MIPR_NAP    1672.776        0.887              7.217              0.376
8) SMRT_NAP    1598.217        0.847              8.064              1.321
9) CRO1        1586.225        0.841              8.905              0.835
10) CUPR_NAP    1563.220        0.829              9.734              0.213
11) PRAR_NAP    1542.667        0.818              10.552              0.967
12) GEOL_NAP    1517.380        0.804              11.356              0.858
13) PUR3_NAP    1450.811        0.769              12.125              0.389
14) BDOS        1369.773        0.726              12.851              0.137
15) ZSU1_NAP    1269.230        0.673              13.524              0.072
16) PRLP_NAP    1248.706        0.662              14.186              0.518
17) PRHL_NAP    1248.159        0.662              14.847              0.142
18) HLFX_NAP    1166.700        0.618              15.466              0.258
19) PRN4_NAP    1128.153        0.598              16.064              0.669
20) BRMU_NAP    1014.939        0.538              16.602              0.741
21) MAND        968.386        0.513              17.115              0.103
22) NGLF        943.942        0.500              17.615              0.302
23) EPRT_NAP    939.245        0.498              18.113              0.666
24) KNOX        936.627        0.496              18.610              0.359
25) MVRN        847.958        0.449              19.059              0.168
26) CAPL_NAP    824.553        0.437              19.496              0.670
27) CN05_NAP    805.463        0.427              19.923              0.911
28) ABVI_NAP    782.848        0.415              20.338              1.265
29) PIKE        753.185        0.399              20.737              0.163
30) BTCC        744.259        0.395              21.132              0.147
31) CN03_NAP    739.965        0.392              21.524              0.842
32) PLND        727.828        0.386              21.910              0.528
33) MAYZ_NAP    724.772        0.384              22.294              0.435
34) CN02_NAP    721.915        0.383              22.677              1.772
35) GRE0        717.488        0.380              23.057              1.130
36) NPRI_NAP    708.829        0.376              23.433              0.117
37) MCTN_NAP    701.858        0.372              23.805              0.370
38) WARF        692.828        0.367              24.172              0.190
39) LION        689.549        0.366              24.538              0.740
40) BARH_NAP    687.292        0.364              24.902              0.225
41) ALEX        686.403        0.364              25.266              0.197
42) CAVE        686.378        0.364              25.630              0.205
43) SPED_NAP    670.689        0.356              25.985              0.598
44) DISC        664.029        0.352              26.337              0.138
45) MNRO        654.292        0.347              26.684              0.088
46) VCAP_NAP    620.175        0.329              27.013              0.563
47) LINS        613.628        0.325              27.338              0.558
48) MRNT        596.325        0.316              27.654              0.673
49) MRA2_NAP    590.082        0.313              27.967              0.505
50) NUTF        569.048        0.302              28.268              0.427
51) HALS        568.192        0.301              28.570              0.322
52) FRDN_NAP    555.738        0.295              28.864              0.361
53) CASL        543.597        0.288              29.152              0.095
54) KNGJ        540.287        0.286              29.439              0.681
55) FALM        536.344        0.284              29.723              0.244
56) SPAU        516.804        0.274              29.997              0.253
57) AOPR_NAP    515.901        0.273              30.270              0.791
58) WYLC_NAP    506.242        0.268              30.539              0.178
59) MORA        499.902        0.265              30.804              0.694
60) LOUP_NAP    498.168        0.264              31.068              0.442
61) MANC        495.261        0.263              31.330              0.535
62) P042_NAP    491.229        0.260              31.591              0.510
63) PLTC_NAP    486.823        0.258              31.849              0.245
64) RDSD_NAP    482.151        0.256              32.104              1.150
65) AMC2_NAP    480.812        0.255              32.359              0.344
66) ZNY1_NAP    472.624        0.251              32.610              0.336
67) SHER_NAP    468.052        0.248              32.858              0.518
68) CN11        462.417        0.245              33.103              0.888
69) CN08_NAP    460.743        0.244              33.347              0.759
70) JUNC        458.131        0.243              33.590              0.300
71) CTGR_NAP    457.274        0.242              33.832              0.111
72) NMRO_NAP    447.618        0.237              34.070              0.701
73) NEGR        447.454        0.237              34.307              0.378
74) LVEG_NAP    446.794        0.237              34.544              1.080
75) NHUN_NAP    443.512        0.235              34.779              0.506
76) LUCE        442.888        0.235              35.014              0.224
77) FONT        442.427        0.235              35.248              0.540
78) P054_NAP    436.828        0.232              35.480              0.700
79) NCAS        434.590        0.230              35.710              0.273
80) CTPU_NAP    432.932        0.229              35.940              0.356
81) CTGU_NAP    426.604        0.226              36.166              0.109
82) WOOD_NAP    426.149        0.226              36.392              0.128
83) P043_NAP    422.753        0.224              36.616              0.467
84) CN10        419.318        0.222              36.838              0.886
85) LCAY_NAP    419.115        0.222              37.060              1.404
86) RG12_NAP    412.953        0.219              37.279              0.702
87) LAMT_NAP    410.173        0.217              37.496              0.276
88) CTEG_NAP    403.234        0.214              37.710              0.124
89) P038_NAP    402.644        0.213              37.924              0.598
90) CARM_NAP    402.323        0.213              38.137              0.732
91) UWIN        401.369        0.213              38.350              0.398
92) JME2_NAP    399.773        0.212              38.562              1.833
93) EDON_NAP    399.293        0.212              38.773              0.670
94) RG08_NAP    398.300        0.211              38.984              0.654
95) WES2_NAP    392.840        0.208              39.193              0.283
96) ZBW1_NAP    392.702        0.208              39.401              0.277
97) RG24_NAP    391.543        0.208              39.608              0.428
98) PRTJ        388.478        0.206              39.814              0.751
99) CTNE_NAP    381.280        0.202              40.016              0.335
100) WIL1_NAP    379.870        0.201              40.218              0.359
101) CTBR_NAP    375.444        0.199              40.417              0.392
102) P040_NAP    371.364        0.197              40.613              0.326
103) URIL_NAP    371.181        0.197              40.810              0.407
104) BAIE_NAP    370.004        0.196              41.006              1.004
105) CTDA_NAP    368.306        0.195              41.202              0.286
106) CTWI_NAP    368.183        0.195              41.397              0.502
107) BRAE        366.814        0.194              41.591              0.232
108) MARJ        363.907        0.193              41.784              0.714
109) CN12        356.558        0.189              41.973              0.243
110) NYHS_NAP    355.852        0.189              42.162              0.399
111) P776_NAP    352.756        0.187              42.349              0.527
112) NYVH_NAP    351.946        0.187              42.535              0.358
113) NYCI_NAP    351.901        0.187              42.722              0.257
114) P044_NAP    350.505        0.186              42.908              0.285
115) WHTJ        350.299        0.186              43.093              0.359
116) NYPB_NAP    349.582        0.185              43.279              0.504
117) P039_NAP    348.787        0.185              43.463              0.455
118) SCUB        347.814        0.184              43.648              1.325
119) CHIC_NAP    347.397        0.184              43.832              1.106
120) CMP2_NAP    345.352        0.183              44.015              0.674
121) VTSA_NAP    344.315        0.183              44.198              0.566
122) TXAM_NAP    343.878        0.182              44.380              0.699
123) VTUV_NAP    340.582        0.181              44.560              0.557
124) P070_NAP    339.840        0.180              44.740              0.514
