282.65 18.31 3.93 7.14 0.252 0.267 0.00000 0 1 ALEX
282.74 18.39 4.81 7.39 0.677 0.548 0.00000 0 1 BAMB
283.03 18.40 4.23 7.32 0.415 0.422 0.00000 0 1 BOSC
283.11 17.95 6.84 7.5 0.355 0.403 0.00000 0 1 BRAE
282.63 18.40 3.84 7.46 0.321 0.269 0.00000 0 1 BTCC
283.64 18.14 4.57 7.03 0.314 0.302 0.00000 0 1 CASL
282.63 18.23 4.69 7.1 0.268 0.267 0.00000 0 1 CAVE
284.03 17.42 8.91 8.4 0.425 0.436 -0.04157 0 1 CN10
282.22 17.02 9.1 7.74 0.377 0.382 -0.00920 0 1 CN11
283.25 18.00 6.19 7.45 0.388 0.387 -0.23879 0 1 CN12
282.83 17.84 7.24 4.98 0.294 0.438 0.00000 0 1 COFE
282.60 18.46 3.73 7.5 0.278 0.287 0.00000 0 1 DISC
282.35 18.49 3.5 7.48 0.352 0.328 -0.10791 0 1 FALM
282.06 18.06 6.69 6.78 0.428 0.345 0.00000 0 1 FONT
282.95 17.88 7.42 6.71 0.504 0.439 0.00000 0 1 GOAT
282.75 17.93 6.82 6.87 0.28 0.3 0.00000 0 1 HALS
283.03 17.85 6.95 6.93 0.511 0.449 0.00000 0 1 HELL
283.22 17.94 6.22 7.95 0.826 0.552 -0.49092 0 1 JAMA
282.39 17.91 7.16 6.92 0.427 0.337 0.24204 0 1 JUNC
282.71 17.86 9.74 7.44 0.455 0.509 0.00000 0 1 KEMP
282.14 18.41 3.47 8.61 0.549 0.796 0.00000 0 1 KMPS
283.21 17.97 7.07 7.53 0.324 0.322 -0.18029 0 1 KNGJ
282.55 18.15 5.52 7.11 0.238 0.242 0.00000 0 1 KNOX
282.97 18.14 5.46 7.41 0.366 0.28 -0.02491 0 1 LINS
282.76 17.81 7.45 7.71 0.295 0.277 -0.13762 0 1 LION
281.83 18.45 3.93 7.19 0.349 0.34 -0.03438 0 1 LUCE
283.73 18.05 5.26 6.9 0.352 0.334 0.00000 0 1 MANC
282.50 18.01 6.46 7.38 0.322 0.234 0.00000 0 1 MAND
283.11 18.37 3.37 6.99 0.356 0.389 -0.24905 0 1 MARJ
284.03 17.42 8.34 7.48 2.796 1.532 0.00000 0 1 MCAY
282.31 17.93 6.76 7.21 0.315 0.28 0.00000 0 1 MNRO
283.59 17.88 7.35 7.01 0.331 0.337 -0.04191 0 1 MORA
283.82 17.92 6.76 7.25 0.289 0.316 0.00000 0 1 MRNT
282.29 17.98 6.93 7.01 0.235 0.235 0.00000 0 1 MVRN
283.29 18.07 4.96 7.21 0.338 0.335 0.00000 0 1 NCAS
281.66 18.28 5.18 7.15 0.331 0.327 -0.14094 0 1 NEGR
281.68 18.28 4.7 6.62 0.246 0.22 0.00000 0 1 NGLF
283.17 18.31 4.5 7.64 0.349 0.305 0.00000 0 1 NUTF
283.21 18.01 6.4 7.49 0.409 0.412 0.00000 0 1 PCJB
282.22 17.02 9.93 7.13 0.602 0.535 0.00000 0 1 PEDR
282.47 18.23 4.08 7.63 0.31 0.279 -0.14006 0 1 PIKE
282.84 17.74 8.06 7.07 0.247 0.273 -0.01658 0 1 PLND
283.15 17.93 6.15 8.24 0.755 0.749 -0.11873 0 1 PRCG
283.55 18.18 5.01 7.17 0.348 0.35 -0.02076 0 1 PRTJ
282.19 18.49 3.14 6.39 1.003 0.785 0.00000 0 1 PYRA
282.54 18.16 5.35 7.64 0.338 0.325 0.07016 0 1 SPAU
282.80 18.43 3.54 6.88 0.374 0.429 0.04072 0 1 STAN
283.25 18.00 5.62 7.44 0.414 0.365 0.00000 0 1 UWIN
282.86 17.75 8.61 7.43 0.291 0.278 0.00000 0 1 WARF
